<<<<<<< HEAD
1,POTVRDJENA,2,2,-1,2024-06-25,2024-06-30,16200.0,2024-06-05,2
2,ZAVRSENA,2,1+1,4,2024-05-10,2024-05-18,37170.0,2024-05-20,2
3,POTVRDJENA,3,2+1,-1,2024-05-20,2024-05-30,1830.5,2024-06-21,2
4,ODBIJENA,3,2+1,-1,2024-05-26,2024-06-01,10500.0,2024-05-13,2
5,OTKAZANA,3,2+1,-1,2024-06-10,2024-06-15,9000.0,2024-04-10,2
6,NACEKANJU,2,1+1,-1,2024-06-13,2024-06-29,45900.0,2024-04-29,1
7,ODBIJENA,3,2+1,-1,2024-06-11,2024-06-14,9600.0,2024-05-03,2
9,POTVRDJENA,2,1+1,6,2024-10-17,2024-10-30,18620.0,2024-06-01,2
10,NACEKANJU,3,2+1,-1,2024-08-01,2024-08-07,22610.0,2024-05-04,1
11,ODBIJENA,3,2+1,-1,2024-07-11,2024-07-25,53250.0,2024-03-01,1
12,POTVRDJENA,2,2,-1,2024-09-18,2024-09-29,33600.0,2024-03-15,1
13,NACEKANJU,3,2+1,-1,2024-08-10,2024-08-12,8550.0,2024-02-10,2
14,NACEKANJU,1,1,-1,2024-07-17,2024-07-20,9202.0,2024-06-15,1
15,NACEKANJU,2,2,-1,2024-07-18,2024-07-20,6000.0,2024-05-25,1
16,NACEKANJU,5,3+1+1,-1,2024-07-30,2024-08-05,14000.0,2024-06-01,1
17,POTVRDJENA,3,2+1,-1,2024-08-29,2024-09-08,39050.0,2024-07-03,2
18,NACEKANJU,3,2+1,-1,2024-09-15,2024-09-24,15000.0,2024-07-05,1
19,POTVRDJENA,3,2+1,5,2024-07-23,2024-07-30,18800.0,2024-07-05,1
=======
1,POTVRDJENA,2,2,-1,2024-06-25,2024-06-30,0.0,2
2,NACEKANJU,2,1+1,-1,2024-05-10,2024-05-18,33570.0,2
3,POTVRDJENA,3,2+1,-1,2024-05-20,2024-05-30,0.0,2
4,ODBIJENA,3,2+1,-1,2024-05-26,2024-06-01,10500.0,2
5,OTKAZANA,3,2+1,-1,2024-06-10,2024-06-15,9000.0,2
>>>>>>> e5a83006847e2c36fff78d44ebc6f7f1ee431116
